holding_id,sec16_otherproducts__id,s16q02a,s16q02b,s16q03,s16q03_unit,s16q04,s16q05,s16q06d,s16q06e
01-01-93-23,Animal dung from ruminants and poultry,,,,,No,,,
01-01-95-66,Animal dung from ruminants and poultry,,,,,No,,,
01-01-97-60,Animal dung from ruminants and poultry,,,,,No,,,
01-02-14-45,Animal dung from ruminants and poultry,,,,,No,,,
01-02-44-99,Animal dung from ruminants and poultry,,,,,No,,,
01-02-74-51,Animal dung from ruminants and poultry,,,,,No,,,
01-02-77-99,Animal dung from ruminants and poultry,,,,,No,,,
01-02-82-52,Animal dung from ruminants and poultry,,,,,No,,,
01-02-83-57,Animal dung from ruminants and poultry,,,,,No,,,
01-02-93-32,Animal dung from ruminants and poultry,,,,,No,,,
01-03-80-13,Animal dung from ruminants and poultry,,,,,No,,,
01-03-82-41,Animal dung from ruminants and poultry,,,,,No,,,
01-03-83-01,Animal dung from ruminants and poultry,,,,,No,,,
01-03-96-75,Animal dung from ruminants and poultry,,,,,No,,,
01-04-01-19,Animal dung from ruminants and poultry,,,,,No,,,
01-04-06-31,Animal dung from ruminants and poultry,,,,,No,,,
01-04-23-89,Animal dung from ruminants and poultry,,,,,No,,,
01-04-29-25,Animal dung from ruminants and poultry,,,,,No,,,
01-04-33-36,Animal dung from ruminants and poultry,,,,,No,,,
01-04-38-11,Animal dung from ruminants and poultry,,,,,No,,,
01-04-50-12,Animal dung from ruminants and poultry,,,,,No,,,
01-04-66-72,Sting/Stingless bee honey,2,0,3,Litres,No,,,
01-04-66-72,Animal dung from ruminants and poultry,,,,,No,,,
01-05-16-73,Animal dung from ruminants and poultry,,,,,No,,,
01-05-21-38,Animal dung from ruminants and poultry,,,,,No,,,
01-05-28-94,Animal dung from ruminants and poultry,,,,,No,,,
01-05-33-47,Animal dung from ruminants and poultry,,,,,No,,,
01-05-51-13,Animal dung from ruminants and poultry,,,,,No,,,
01-05-52-51,Animal dung from ruminants and poultry,,,,,No,,,
