holding_id,holding_type,mainland_zanzibar,region,stratum_id,ea_id,weight,s2q10__1,s2q10__2,s2q10__3,s2q10__4,s2q10__5,s2q10__6,s2q10__7,s20q08,s20q09
59-21-70-08,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-25-45-10,Household,"Mainland, Tanzania",Kilimanjaro,170,3987,179,No,No,No,No,No,No,Yes,No,
59-26-66-64,Household,"Mainland, Tanzania",Mwanza,114,8206,279,No,No,No,No,No,No,Yes,,
59-29-19-45,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-31-21-20,Household,"Mainland, Tanzania",Mwanza,114,5924,274,No,No,No,No,No,No,Yes,,
59-31-75-67,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-33-81-53,Household,"Mainland, Tanzania",Morogoro,669,4054,1036,No,No,No,No,No,No,Yes,No,
59-34-15-92,Household,"Mainland, Tanzania",Lindi,271,9737,1575,No,No,No,No,No,No,Yes,No,
59-36-39-01,Household,"Mainland, Tanzania",Morogoro,669,9925,970,No,No,No,No,No,No,Yes,No,
59-36-71-92,Household,Zanzibar,Mjini Magharibi,533,5847,341,No,No,No,No,No,No,Yes,No,
59-38-43-90,Household,Zanzibar,Kusini Unguja,333,2403,169,No,No,No,No,No,No,Yes,No,
59-38-97-13,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-41-12-88,Household,"Mainland, Tanzania",Morogoro,735,5824,306,No,No,No,No,No,No,Yes,No,
59-41-49-56,Household,"Mainland, Tanzania",Manyara,947,4201,332,No,No,No,No,No,No,Yes,No,
59-42-59-85,Large Farm,"Mainland, Tanzania",,,3266,,,,,,,,,No,
59-46-81-55,Household,"Mainland, Tanzania",Manyara,471,4658,525,No,No,No,No,No,No,Yes,No,
59-49-83-02,Household,Zanzibar,Kusini Unguja,361,3013,93,No,No,No,No,No,No,Yes,No,
59-51-33-67,Household,"Mainland, Tanzania",Morogoro,735,3947,459,No,No,No,No,No,No,Yes,No,
59-55-18-55,Household,"Mainland, Tanzania",Dodoma,302,7012,423,No,No,No,No,No,No,Yes,No,
59-55-69-36,Household,"Mainland, Tanzania",Dar es Salaam,102,1648,396,No,No,No,No,No,No,Yes,,
59-60-06-76,Household,"Mainland, Tanzania",Ruvuma,517,9853,763,No,No,No,No,No,No,Yes,No,
59-61-01-51,Household,"Mainland, Tanzania",Tabora,289,6892,162,No,No,No,No,No,No,Yes,No,
59-63-37-62,Household,"Mainland, Tanzania",Dar es Salaam,654,3079,251,No,No,No,No,No,No,Yes,,
59-64-42-13,Household,"Mainland, Tanzania",Tanga,657,8713,349,No,No,No,No,No,No,Yes,No,
59-64-48-30,Household,"Mainland, Tanzania",Arusha,212,3352,109,No,No,No,No,No,No,Yes,No,
59-66-04-48,Household,"Mainland, Tanzania",Mwanza,114,4339,216,No,No,No,No,No,No,Yes,,
59-68-06-06,Household,"Mainland, Tanzania",Mara,489,1017,631,No,No,No,No,No,No,Yes,No,
